workerid,resp_blue,resp_red,trial
1440,100,0,20
1465,0,100,21
1456,98,6,21
1481,0,99,21
1441,100,100,21
1444,49,82,21
1472,38,77,21
1447,33,94,21
1450,7,100,21
1486,12,99,21
1439,0,92,21
1485,26,76,21
1443,20,69,21
1482,47,97,21
1461,55,92,21
1463,3,87,21
1491,2,100,21
1480,1,99,21
1449,2,99,21
1460,2,96,21
1462,36,87,21
1448,12,82,21
1445,60,60,21
1475,0,100,21
1469,1,100,21
1477,3,78,21
1495,4,100,21
1493,27,80,21
1474,32,100,21
1457,5,97,21
1452,29,91,21
1464,100,100,21
1483,14,88,21
1451,2,99,21
1473,1,100,21
1470,1,98,21
1454,81,48,21
1438,10,86,21
1488,2,100,21
1494,58,67,21
1466,78,60,21
1490,51,93,21
1458,79,53,21
1476,86,100,21
1446,22,84,21
1484,0,100,21
1487,79,100,21
1492,22,83,21
1440,100,100,21
1456,3,100,22
1481,1,98,22
1444,10,100,22
1467,1,99,22
1472,0,100,22
1447,71,74,22
1450,10,100,22
1439,0,100,22
1485,0,89,22
1443,15,77,22
1482,2,100,22
1461,3,93,22
1463,4,95,22
1491,0,100,22
1480,1,99,22
1449,10,99,22
1460,5,73,22
1462,38,57,22
1448,4,96,22
1445,33,76,22
1475,0,100,22
1469,5,94,22
1477,3,91,22
1495,53,61,22
1493,54,28,22
1474,71,75,22
1457,6,42,22
1452,11,92,22
1464,100,100,22
1483,2,97,22
1451,2,100,22
1473,15,93,22
1454,3,96,22
1438,24,22,22
1488,14,89,22
1494,27,96,22
1466,64,87,22
1458,31,97,22
1442,5,97,22
1476,15,100,22
1446,20,88,22
1484,2,100,22
1487,29,79,22
1492,0,100,22
1440,49,50,22
1465,100,0,23
1456,78,41,23
1481,97,14,23
1441,99,0,23
1444,100,23,23
1467,99,2,23
1472,78,41,23
1450,78,100,23
1486,100,0,23
1439,100,63,23
1485,89,71,23
1443,63,71,23
1482,77,65,23
1461,96,4,23
1463,90,16,23
1491,100,0,23
1480,13,99,23
1449,99,97,23
1460,99,0,23
